meal_prep_done,carpool_done,transit_done,grocery_spent,gas_spent,total_spent,target_savings
0,0,0,66.87,37.3,152.56,0.0
0,1,0,45.56,27.6,174.25,16.79
1,0,1,65.28,34.65,149.45,57.21
0,1,0,66.56,34.75,151.26,17.05
1,1,1,75.35,40.89,144.17,75.68
0,1,0,42.21,51.64,155.83,15.4
1,1,0,50.7,36.97,144.08,50.88
0,0,0,34.6,42.3,107.61,8.14
0,0,1,35.32,15.49,129.49,26.25
1,1,0,48.68,33.38,128.43,47.53
1,1,1,49.98,22.78,128.92,74.85
1,1,0,39.36,49.53,128.38,50.89
0,0,1,40.26,34.11,113.96,22.54
0,0,1,23.05,44.9,101.29,23.19
0,1,1,51.63,25.82,107.62,48.45
0,1,1,53.19,40.27,165.58,42.18
1,1,0,63.21,46.94,154.75,48.55
0,1,0,46.67,18.51,100.05,20.86
1,1,1,54.15,-3.4,88.28,69.96
1,1,1,57.37,35.7,146.98,74.51
0,0,1,73.13,14.21,134.49,32.04
1,0,1,52.8,34.73,165.11,54.58
1,1,0,62.61,26.44,100.43,54.35
1,1,0,41.75,28.53,137.09,51.04
1,1,0,46.03,16.37,99.59,45.91
1,0,1,69.04,32.13,175.99,57.87
0,0,0,58.44,26.12,128.6,0.0
0,0,0,30.68,32.93,116.51,0.0
1,0,1,52.36,42.32,173.34,47.79
0,0,0,42.24,24.52,106.0,0.0
0,1,0,37.57,23.78,106.72,19.94
0,0,1,75.44,48.97,177.54,30.12
0,0,0,10.26,43.52,122.01,0.0
1,1,0,25.44,31.2,113.02,50.66
1,1,0,46.06,24.99,101.8,52.51
1,0,1,45.47,3.97,92.21,54.68
0,1,1,50.78,34.91,109.98,44.81
1,1,1,59.31,40.4,121.63,88.23
0,1,0,80.16,20.09,170.05,22.12
0,0,1,50.68,30.51,121.15,18.14
0,0,0,47.45,30.4,138.45,0.0
1,1,1,68.02,32.83,157.64,76.41
0,0,1,54.59,37.84,181.8,22.74
1,0,1,35.52,46.29,120.17,49.13
1,0,0,61.03,46.58,154.06,32.6
0,0,0,88.55,16.42,127.03,1.69
0,0,1,47.25,13.3,111.49,24.46
0,0,0,70.65,33.13,167.52,7.33
0,0,0,58.84,27.39,139.49,0.0
1,0,1,49.97,27.72,147.57,50.46
0,0,1,39.93,31.13,103.27,23.36
0,1,0,53.44,40.74,148.67,24.52
0,0,0,26.98,38.39,98.82,0.0
0,1,1,40.56,22.51,123.52,35.83
1,0,1,58.4,21.9,145.25,59.74
1,1,1,68.59,26.04,166.0,78.02
1,0,1,59.93,10.71,140.43,61.3
0,1,0,57.2,31.99,152.17,18.18
1,0,1,22.8,19.41,132.46,55.68
1,0,0,50.51,31.11,128.04,31.98
0,0,0,47.42,28.28,117.67,0.0
0,1,0,57.97,46.22,154.64,12.7
1,0,1,40.3,19.83,85.25,63.32
1,0,1,58.95,23.66,127.88,58.72
0,1,0,41.75,34.09,150.59,26.89
1,0,0,49.65,22.71,116.53,27.73
1,1,1,93.81,20.87,150.67,79.41
1,1,1,52.24,33.64,136.03,64.57
1,0,1,37.97,19.4,107.09,54.35
1,0,1,68.05,37.75,172.14,52.87
0,0,0,38.6,31.78,145.68,7.43
0,1,0,51.1,28.5,153.43,19.58
1,0,0,58.09,39.78,123.41,38.47
0,0,0,37.1,52.95,147.62,1.89
1,0,1,38.52,6.03,103.55,56.1
0,0,1,41.42,33.33,143.41,23.89
0,0,1,63.64,26.23,155.06,19.81
1,0,0,64.95,22.7,117.2,28.49
1,1,0,52.83,13.26,108.7,48.17
0,0,0,98.65,53.08,198.1,0.0
1,0,1,15.89,51.35,142.07,53.26
0,1,1,35.07,48.27,100.23,43.57
1,1,0,68.3,37.96,173.43,47.66
0,1,1,43.13,28.41,114.13,38.26
0,1,0,60.43,58.84,185.83,17.19
0,1,0,52.24,27.12,126.96,23.7
1,1,1,48.74,29.49,145.55,80.01
1,0,0,68.79,25.52,130.47,20.16
0,0,1,54.67,34.3,137.08,25.17
1,1,1,49.85,32.96,137.78,66.87
1,0,1,43.77,36.47,153.02,55.55
0,1,1,59.97,24.47,154.48,42.51
1,1,0,29.91,31.6,97.96,49.45
1,0,1,63.8,26.99,140.47,59.58
0,1,1,43.16,39.65,155.32,39.0
0,1,1,54.75,21.15,129.51,51.52
0,0,0,75.65,28.31,150.3,0.0
1,1,1,73.55,30.69,141.45,70.55
0,1,1,82.05,17.36,130.73,48.07
0,0,1,59.82,38.11,128.06,27.1
0,1,1,40.5,36.64,113.56,40.88
0,1,0,58.36,28.66,145.09,17.25
0,1,0,43.52,53.34,178.26,19.36
0,0,0,67.73,34.81,148.49,0.0
1,1,1,52.82,36.72,150.29,79.62
0,1,1,45.83,26.63,106.83,39.88
1,1,1,61.33,55.05,182.4,79.89
1,1,0,42.13,34.94,152.99,44.46
1,1,0,66.69,32.38,132.29,56.77
0,1,0,41.96,27.36,98.09,19.77
0,1,0,52.6,20.44,156.02,23.13
0,0,1,52.1,39.96,114.26,25.79
1,1,0,30.64,34.29,114.95,49.12
1,1,0,46.4,13.3,124.57,45.84
1,1,0,33.59,38.79,144.55,52.09
0,1,0,52.15,38.5,154.5,22.91
0,0,0,57.6,34.51,108.83,5.25
1,1,1,45.01,40.94,133.46,72.15
1,1,1,34.55,54.01,130.78,86.76
0,0,1,28.77,32.19,131.15,20.78
0,1,0,51.16,20.33,153.42,12.64
1,1,0,50.9,39.5,120.12,54.24
1,1,1,8.73,34.24,65.31,69.1
0,1,1,32.31,31.72,127.46,52.64
1,1,1,46.23,40.94,145.21,74.12
1,1,0,65.12,24.5,106.71,57.53
0,1,1,29.71,33.87,141.08,39.52
0,1,0,57.73,21.66,173.07,22.85
0,1,0,75.01,31.22,166.37,24.18
1,1,0,58.83,29.16,144.66,50.85
1,0,1,69.71,31.32,153.61,54.12
0,0,0,80.23,42.91,165.19,0.0
1,0,1,35.01,32.2,124.52,51.87
1,1,0,66.74,45.08,156.84,62.51
1,1,0,56.23,23.38,117.78,53.82
1,0,1,78.85,22.25,117.32,52.64
0,1,1,27.28,21.99,114.57,47.56
0,1,1,58.95,27.68,137.21,43.65
1,1,1,67.72,18.01,115.23,72.4
0,1,0,9.43,23.7,73.37,23.17
0,1,1,43.75,41.2,134.42,46.89
0,1,0,67.66,27.87,135.12,12.1
1,1,0,44.2,39.07,107.61,56.59
1,0,1,38.28,27.4,147.66,59.01
1,1,0,32.86,40.08,109.97,45.88
1,0,1,63.1,29.7,161.34,66.02
0,0,0,51.25,14.8,121.31,0.0
1,0,1,48.43,33.93,117.61,55.91
0,0,1,43.78,39.44,123.97,27.06
0,0,0,53.75,38.09,133.92,0.0
1,1,0,35.52,46.79,150.5,42.68
1,0,1,26.94,28.55,96.57,55.57
0,0,1,44.44,13.96,100.47,27.34
0,1,1,43.89,44.71,131.33,45.25
0,1,1,27.32,21.01,98.45,42.21
0,1,1,67.09,26.13,121.25,52.1
1,1,1,31.25,35.64,130.29,76.01
0,1,0,59.74,38.11,144.62,16.88
0,1,1,48.01,26.27,95.46,42.38
0,0,0,46.99,32.32,152.23,0.0
1,0,0,44.29,24.58,127.38,28.96
1,0,1,30.93,29.02,86.78,46.59
0,1,0,76.94,37.97,177.64,11.88
0,1,0,66.06,42.72,156.56,18.06
1,1,0,67.39,30.47,104.44,47.44
0,0,0,48.04,41.05,91.94,0.0
1,0,1,61.87,34.11,158.48,56.9
1,0,1,40.25,30.84,121.35,57.4
0,0,1,56.64,39.96,123.56,27.04
1,1,1,47.71,45.08,130.84,72.56
1,0,1,20.3,24.98,93.85,51.78
1,1,0,54.18,24.91,112.16,47.08
0,0,0,44.74,17.24,110.55,3.62
0,1,1,47.6,39.37,102.8,58.19
1,0,1,50.94,30.9,145.42,54.9
1,1,1,4.89,35.71,95.47,69.55
1,0,0,58.31,38.58,171.55,31.68
0,0,1,46.92,18.27,81.09,25.37
1,1,0,48.77,40.91,124.2,57.69
0,0,0,50.68,35.58,173.4,0.0
0,0,0,56.71,26.92,123.28,0.0
0,1,1,69.3,23.9,135.27,39.35
0,1,1,52.66,9.0,99.66,50.49
1,0,0,50.38,14.57,118.23,40.98
1,1,1,53.38,25.43,145.94,76.78
1,1,1,74.47,36.22,145.55,73.81
1,0,0,74.58,36.1,165.83,25.15
1,0,1,61.39,27.08,137.28,57.47
1,1,0,41.85,22.38,108.12,47.85
0,1,0,26.4,17.79,92.24,10.03
0,1,1,72.83,30.77,197.82,46.76
0,1,0,67.39,39.73,141.54,21.02
0,1,1,54.95,29.95,120.49,37.36
0,1,1,47.91,42.05,131.12,43.29
1,0,0,49.56,22.32,107.57,25.93
1,1,1,35.23,22.07,98.83,68.17
1,0,0,32.87,30.29,84.49,19.47
0,1,1,32.94,21.07,134.67,45.16
1,1,1,41.65,23.4,101.06,78.54
1,0,0,38.56,40.36,117.01,34.5
1,1,1,67.1,54.99,126.71,70.38
1,1,1,46.99,12.33,126.54,65.98
0,0,1,76.59,33.88,151.68,24.74
0,0,0,35.89,24.39,69.56,0.24
1,1,0,22.94,34.82,83.08,49.18
0,0,1,59.74,35.82,137.36,26.42
1,0,0,73.92,29.97,170.05,26.91
0,0,1,39.91,32.23,87.3,22.27
1,0,1,45.78,28.02,116.71,68.16
1,1,0,35.46,29.19,132.43,51.81
0,1,1,29.31,40.71,94.26,47.79
0,1,0,39.71,15.67,108.3,22.93
0,1,1,91.49,32.68,169.41,38.79
1,0,1,54.81,28.35,148.43,57.56
0,1,1,61.28,33.59,204.14,50.38
1,0,0,48.12,38.47,134.29,28.08
1,1,1,68.05,33.43,149.17,80.7
1,0,0,29.16,40.41,104.62,30.22
1,1,0,58.6,37.28,124.55,55.51
1,1,0,55.26,21.56,128.86,47.59
1,0,0,66.5,29.82,146.48,38.64
1,0,1,54.66,14.21,114.63,60.89
0,0,1,76.09,37.81,180.49,29.61
1,1,0,67.25,32.97,175.56,51.44
0,0,0,49.06,34.91,148.1,0.0
1,0,0,34.14,36.3,103.05,28.29
1,1,0,59.42,43.59,153.5,45.91
0,1,0,54.85,42.84,173.59,22.72
1,1,0,58.59,40.25,161.78,49.98
1,0,0,52.99,29.19,133.76,27.69
0,0,1,39.49,36.81,116.35,25.67
0,0,1,56.31,24.22,148.15,25.01
1,0,0,56.78,27.18,96.38,34.65
0,0,1,42.38,11.41,108.37,24.78
1,1,0,47.62,42.52,151.22,48.24
0,0,1,60.36,32.66,156.17,24.65
1,0,0,38.39,29.44,107.23,35.13
0,0,1,70.38,26.46,123.97,27.71
0,1,1,47.7,27.59,99.84,41.85
1,1,1,29.18,37.64,115.76,72.25
1,1,0,46.59,19.12,94.68,47.37
1,1,1,33.64,37.94,117.94,75.69
0,0,0,46.79,43.13,109.71,0.0
1,0,0,55.55,35.84,139.39,29.71
0,1,0,29.97,19.1,112.02,25.22
1,1,1,54.17,26.95,145.11,68.92
0,1,1,62.28,31.58,178.48,40.83
1,0,1,71.78,30.14,140.0,53.5
1,0,0,40.16,21.88,108.04,25.94
0,1,1,32.2,27.02,102.44,44.14
0,1,1,63.13,36.95,134.04,39.7
0,1,1,65.32,39.19,145.32,39.6
0,1,0,53.37,19.83,142.49,21.81
1,0,1,63.9,32.29,180.78,47.61
0,1,1,55.72,19.61,126.75,43.83
0,0,1,60.3,21.61,133.26,14.9
0,0,0,59.21,21.31,106.0,6.43
1,1,0,32.43,52.74,130.38,50.04
0,1,0,32.67,25.8,92.5,10.1
0,0,0,26.83,24.61,109.16,4.19
0,0,0,45.68,31.3,132.17,2.64
0,1,1,91.53,24.07,200.57,43.05
0,0,1,39.22,32.04,107.17,21.02
1,1,1,50.68,36.23,150.99,85.77
0,1,0,30.2,28.29,103.48,19.45
1,1,0,52.96,34.01,148.14,36.89
0,1,1,44.25,39.63,162.17,49.31
1,0,0,57.2,19.45,143.11,25.19
0,0,0,50.33,20.54,119.49,0.0
1,0,1,63.46,41.3,141.28,51.28
1,0,1,38.0,27.3,94.19,60.33
1,0,1,64.27,35.27,145.72,54.01
1,1,0,61.83,32.63,125.22,51.63
0,0,0,48.15,35.88,132.19,7.78
0,0,0,33.81,42.88,138.77,0.0
1,1,1,56.14,33.57,141.34,74.81
0,0,0,55.72,28.99,121.13,0.0
0,1,1,50.56,27.26,131.8,47.59
0,1,0,62.84,35.75,132.33,21.82
0,1,1,32.17,29.5,90.74,47.37
0,0,1,38.72,31.95,145.85,28.43
1,1,0,61.53,23.76,73.29,50.64
1,0,1,80.88,32.54,151.71,58.85
0,0,1,46.46,25.93,111.7,26.47
0,1,0,54.35,35.93,134.81,17.56
1,0,1,53.92,40.23,140.15,49.85
1,1,1,67.32,28.47,130.4,75.74
0,0,0,59.68,30.19,93.47,3.91
0,0,0,66.25,24.36,131.74,0.0
1,1,0,48.48,9.07,77.45,52.09
0,1,0,88.76,42.49,185.64,18.45
0,0,1,57.29,10.51,76.79,28.7
0,0,1,31.93,20.7,102.42,18.22
0,1,0,59.93,20.7,129.49,18.32
1,0,0,51.73,30.58,135.47,33.94
0,1,0,54.61,27.52,158.54,15.63
1,0,0,35.33,20.82,74.48,30.57
1,1,1,60.2,28.01,104.06,76.66
1,0,1,41.87,29.46,125.62,63.74
1,0,1,58.82,36.2,106.79,55.46
1,0,0,33.9,35.99,115.89,31.25
1,1,1,47.02,21.18,121.94,77.95
1,0,0,55.74,29.77,124.68,31.7
1,0,1,10.63,55.49,126.74,55.74
0,1,1,58.19,22.07,170.66,45.3
0,0,1,39.84,34.16,118.48,26.34
1,1,1,58.23,33.25,139.88,71.48
0,0,0,52.2,24.78,188.52,6.8
0,1,1,22.32,37.86,111.43,53.98
1,0,1,58.76,36.14,130.01,52.93
1,1,0,49.68,29.72,110.28,51.85
1,1,1,38.42,46.1,139.07,78.18
0,1,0,49.54,37.94,158.2,16.69
1,1,1,46.19,20.33,140.7,71.69
0,1,1,90.39,38.27,155.2,36.33
0,1,0,54.02,21.76,115.42,26.63
0,1,1,50.01,28.22,134.73,44.6
0,1,1,63.36,33.66,148.98,40.5
1,0,1,32.06,26.93,111.41,50.66
0,0,0,66.45,8.09,155.23,5.61
0,1,0,48.91,40.26,111.58,20.44
1,0,1,55.84,30.01,130.03,52.03
0,0,1,67.97,42.45,185.12,24.13
1,0,1,38.9,16.65,97.84,57.17
1,0,0,39.05,30.15,99.08,19.49
1,0,0,57.19,29.3,113.81,29.24
0,1,0,33.85,40.36,148.44,25.16
1,1,1,45.58,44.53,170.69,74.59
1,1,1,45.04,30.03,149.69,66.65
0,0,0,80.65,32.9,145.02,0.0
1,0,0,22.43,36.14,113.57,27.19
0,0,0,18.51,36.83,103.05,2.83
1,1,0,28.14,22.88,83.86,49.17
1,1,0,47.42,16.4,94.19,45.85
0,1,0,67.4,35.14,156.51,20.88
0,0,1,73.97,37.34,161.49,23.81
1,0,0,45.69,44.91,152.36,29.66
1,0,0,42.89,31.89,92.9,28.95
0,0,0,61.83,23.63,136.68,11.53
0,1,1,31.46,42.54,138.62,47.69
1,1,0,65.65,43.62,165.47,52.61
1,0,1,36.89,39.63,109.68,55.66
0,1,0,35.52,33.59,158.28,10.91
0,1,1,66.83,28.13,159.54,46.76
0,1,1,51.58,33.02,125.92,45.1
1,0,0,64.1,26.1,114.8,27.81
1,1,1,61.09,38.64,136.66,79.21
1,0,1,32.32,27.8,122.31,47.22
1,0,0,49.07,13.27,116.14,26.57
1,0,0,24.0,32.21,107.94,27.88
1,1,0,33.4,49.63,148.29,42.22
1,0,1,22.69,22.94,67.79,63.52
1,1,1,78.44,28.76,149.3,79.85
1,0,0,60.59,41.91,162.17,35.31
0,0,1,68.78,37.4,170.73,36.08
1,0,1,42.79,55.39,147.39,47.98
1,1,1,45.29,33.14,122.92,74.29
0,1,0,45.12,20.63,102.75,23.05
0,0,1,30.85,39.49,86.17,27.31
0,1,0,55.89,34.54,108.78,20.25
0,0,1,52.78,15.49,133.15,31.93
0,1,0,43.63,40.58,138.04,25.99
1,0,1,33.53,23.17,92.23,55.0
1,0,1,57.77,24.71,115.09,54.95
0,0,0,61.98,21.5,117.16,5.59
0,1,0,36.78,44.04,110.98,17.23
0,1,0,57.36,25.22,139.15,15.97
0,0,1,48.13,30.16,132.66,22.77
